date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
1990-01-01,51.0,5.7095,2.0095,4.0344996,1.7593641,-2.2271795,0.3055805,0,0,1.9000001,1.9000001,0.0,8.0,18.709612,37.44,219.14398,4.09,0.48047844
1990-01-02,71.0,3.0595,0.009499997,1.9553334,-0.34737492,-2.7895114,-1.5915028,0,0,0.7,0.5,0.14,4.0,12.261158,28.8,187.73726,3.29,0.49120432
1990-01-03,73.0,4.4095,1.9595001,2.8824167,1.0555959,-1.5721064,-0.64383346,0,0,11.100001,10.200002,0.63000005,24.0,17.555307,34.56,141.50064,1.89,0.20130682
1990-01-04,61.0,7.3595,3.2095,4.8886666,3.7784815,0.4139061,1.7432481,0,0,13.2,13.2,0.0,15.0,18.806337,38.16,163.83392,2.43,0.27770877
1990-01-05,63.0,8.3595,3.6595001,5.8053336,4.4326744,1.859665e-05,2.0148437,0,0,17.499998,17.499998,0.0,16.0,32.919827,64.439995,156.14952,0.64,0.16508937
1990-01-06,61.0,7.0095,4.8595,5.8240833,3.482235,0.7765026,2.1985416,0,0,19.9,19.9,0.0,18.0,20.523157,43.56,147.63026,2.35,0.30604252
1990-01-07,63.0,8.159499,5.6095,6.91575,4.005888,1.1165218,3.0534756,0,0,20.2,20.2,0.0,22.0,31.559086,65.159996,180.10294,1.57,0.269437
1990-01-08,53.0,6.9595,4.7095,5.624083,3.4806132,1.508523,2.6528208,0,0,4.9,4.9,0.0,13.0,18.792551,36.719997,147.43182,1.83,0.23831247
1990-01-09,61.0,6.8095,3.8095002,5.3990836,4.2393665,-0.84233856,2.1490176,0,0,15.400002,15.400002,0.0,21.0,22.45315,41.760002,197.0323,0.42,0.26826048
1990-01-10,2.0,4.5595,-0.54050004,2.5345004,1.7048535,-4.439511,-0.93475884,0,0,0.0,0.0,0.0,0.0,17.31746,32.039997,272.90042,5.21,0.5764245
1990-01-11,53.0,4.8595,-0.0905,1.9407498,0.56656456,-4.559774,-2.489068,0,0,2.9,2.9,0.0,7.0,17.10284,35.64,44.904438,2.47,0.68918383
1990-01-12,3.0,7.5095,3.0595,4.486583,5.2513504,-0.970376,1.7993422,0,0,0.0,0.0,0.0,0.0,16.055355,32.039997,42.273643,2.8,0.37718412
1990-01-13,55.0,6.0095,1.6595,4.119917,3.4180746,-1.4679558,1.3893226,0,0,10.799998,10.799998,0.0,18.0,10.182337,19.08,66.339134,0.94,0.18905276
1990-01-14,53.0,7.1095,4.7595,5.7011666,5.1568136,2.8373532,3.7637873,0,0,3.1999998,3.1999998,0.0,7.0,6.8777895,15.4800005,334.92932,1.17,0.24072927
1990-01-15,53.0,5.8095,2.0595,4.4678335,3.2323341,-0.05825329,1.9531406,0,0,3.8999999,3.8999999,0.0,11.0,11.183201,23.039999,112.72976,1.9,0.23437499
1990-01-16,3.0,8.0095,1.6095,4.3365836,5.1108017,-1.6723413,1.3466078,0,0,0.0,0.0,0.0,0.0,11.620809,22.68,0.20833929,6.23,0.54585683
1990-01-17,0.0,5.4595,0.3095,2.5386665,2.7082486,-3.5717812,-0.7886134,0,0,0.0,0.0,0.0,0.0,11.770403,20.880001,21.518023,6.58,0.6416965
1990-01-18,1.0,5.8595,-1.9405,1.41575,2.8061533,-5.3444505,-1.7850505,0,0,0.0,0.0,0.0,0.0,7.5942082,15.4800005,23.256838,5.47,0.54897904
1990-01-19,2.0,6.0095,-1.1905,2.472,3.6923814,-5.017983,-0.48275104,0,0,0.0,0.0,0.0,0.0,9.220499,14.4,12.716559,5.83,0.5847529
1990-01-20,3.0,5.4595,0.70949996,3.1324167,3.0293922,-1.9470987,0.63323975,0,0,0.0,0.0,0.0,0.0,4.6800003,11.159999,62.354122,4.6,0.4748867
1990-01-21,61.0,4.6595,2.7595,3.7074172,2.2400656,0.022221088,1.0591552,0,0,11.7,11.7,0.0,15.0,13.608762,25.56,87.94414,1.07,0.19429143
1990-01-22,63.0,6.4095,2.9595,4.4949164,2.6260786,-2.729712,0.18458511,0,0,22.3,22.3,0.0,18.0,29.598919,54.36,184.52086,2.57,0.37088805
1990-01-23,51.0,5.3095,2.3595,3.5699167,-0.038698196,-2.1130652,-0.9602204,0,0,0.4,0.4,0.0,2.0,20.633371,43.92,244.03468,5.5,0.86810976
1990-01-24,71.0,3.7595,2.1095,2.9178336,-0.39750743,-2.4013999,-1.3624262,0,0,15.899998,15.0999975,0.56,23.0,21.046917,38.88,161.40358,1.37,0.17387745
